id,item
'0','yogurt'
'0','aluminum foil'
'0','lunch meat'
'0','pork'
'0','beef'
'0','ice cream'
'0','vegetables'
'0','all- purpose'
'0','soda'
'0','butter'
'0','mixes'
'0','shampoo'
'0','laundry detergent'
'0','soap'
'0','flour'
'0','sandwich bags'
'0','dinner rolls'
'1','aluminum foil'
'1','cereals'
'1','toilet paper'
'1','vegetables'
'1','cheeses'
'1','dishwashing liquid/detergent'
'1','hand soap'
'1','laundry detergent'
'1','individual meals'
'1','shampoo'
'1','sandwich bags'
'1','yogurt'
'1','mixes'
'1','waffles'
'1','milk'
'1','tortillas'
'2','sandwich loaves'
'2','ice cream'
'2','pork'
'2','lunch meat'
'2','eggs'
'2','cereals'
'2','poultry'
'2','ketchup'
'2','vegetables'
'2','cheeses'
'2','hand soap'
'2','spaghetti sauce'
'2','laundry detergent'
'2','bagels'
'2','soda'
'2','shampoo'
'2','soap'
'2','toilet paper'
'2','dinner rolls'
'2','milk'
'3','lunch meat'
'3','cereals'
'3','all- purpose'
'3','soda'
'3','toilet paper'
'3','juice'
'4','sandwich loaves'
'4','pasta'
'4','pork'
'4','yogurt'
'4','eggs'
'4','poultry'
'4','vegetables'
'4','hand soap'
'4','spaghetti sauce'
'4','all- purpose'
'4','individual meals'
'4','flour'
'4','soda'
'4','paper towels'
'4','toilet paper'
'4','dinner rolls'
'4','mixes'
'4','waffles'
'4','milk'
'4','tortillas'
'5','pasta'
'5','aluminum foil'
'5','coffee/tea'
'5','laundry detergent'
'5','eggs'
'5','cereals'
'5','soap'
'5','poultry'
'5','ketchup'
'5','vegetables'
'5','dishwashing liquid/detergent'
'5','spaghetti sauce'
'5','laundry detergent'
'5','bagels'
'5','butter'
'5','all- purpose'
'5','shampoo'
'5','paper towels'
'5','toilet paper'
'5','milk'
'6','pasta'
'6','ice cream'
'6','beef'
'6','juice'
'6','eggs'
'6','ketchup'
'6','vegetables'
'6','toilet paper'
'6','dishwashing liquid/detergent'
'6','individual meals'
'6','all- purpose'
'6','mixes'
'6','spaghetti sauce'
'6','fruits'
'6','soap'
'6','sandwich bags'
'6','yogurt'
'6','paper towels'
'6','milk'
'6','tortillas'
'7','poultry'
'7','cheeses'
'7','vegetables'
'7','soda'
'7','ice cream'
'7','toilet paper'
'7','paper towels'
'7','waffles'
'7','juice'
'8','juice'
'8','dishwashing liquid/detergent'
'8','poultry'
'8','coffee/tea'
'9','poultry'
'9','cheeses'
'9','sugar'
'9','soda'
'9','waffles'
'9','tortillas'
'9','sandwich loaves'
'9','coffee/tea'
'9','dishwashing liquid/detergent'
'9','toilet paper'
'9','lunch meat'
'9','beef'
'9','ketchup'
'9','eggs'
'9','vegetables'
'9','fruits'
'9','bagels'
'9','flour'
'9','pork'
'9','soap'
'9','milk'
'9','juice'
'10','pasta'
'10','poultry'
'10','cheeses'
'10','sugar'
'10','hand soap'
'10','soda'
'10','waffles'
'10','sandwich loaves'
'10','coffee/tea'
'10','dishwashing liquid/detergent'
'10','toilet paper'
'10','sandwich loaves'
'10','ice cream'
'10','eggs'
'10','vegetables'
'10','bagels'
'10','shampoo'
'10','flour'
'10','dinner rolls'
'10','pork'
'10','ketchup'
'10','individual meals'
'10','milk'
'11','pasta'
'11','pork'
'11','lunch meat'
'11','juice'
'11','pork'
'11','vegetables'
'11','sugar'
'11','hand soap'
'11','bagels'
'11','butter'
'11','spaghetti sauce'
'11','shampoo'
'11','flour'
'11','yogurt'
'11','laundry detergent'
'11','waffles'
'11','tortillas'
'12','aluminum foil'
'12','sugar'
'12','pork'
'12','ice cream'
'12','sandwich loaves'
'12','toilet paper'
'12','vegetables'
'12','fruits'
'12','sugar'
'12','all- purpose'
'12','bagels'
'12','individual meals'
'12','shampoo'
'12','paper towels'
'12','soap'
'12','flour'
'12','laundry detergent'
'12','juice'
'13','sandwich loaves'
'13','fruits'
'13','cereals'
'13','ketchup'
'13','vegetables'
'13','cheeses'
'13','laundry detergent'
'13','individual meals'
'13','shampoo'
'13','sandwich bags'
'13','dinner rolls'
'14','aluminum foil'
'14','sandwich loaves'
'14','ice cream'
'14','lunch meat'
'14','tortillas'
'14','cereals'
'14','cheeses'
'14','fruits'
'14','individual meals'
'14','butter'
'14','bagels'
'14','mixes'
'14','spaghetti sauce'
'14','hand soap'
'14','toilet paper'
'14','paper towels'
'14','juice'
'15','pasta'
'15','sugar'
'15','ice cream'
'15','beef'
'15','cereals'
'15','soap'
'15','cheeses'
'15','dishwashing liquid/detergent'
'15','soda'
'15','paper towels'
'15','flour'
'15','sandwich bags'
'15','dinner rolls'
'15','milk'
'15','juice'
'16','pasta'
'16','milk'
'16','sandwich loaves'
'16','cereals'
'16','hand soap'
'16','spaghetti sauce'
'16','individual meals'
'17','coffee/tea'
'17','bagels'
'17','shampoo'
'17','toilet paper'
'17','sandwich bags'
'18','aluminum foil'
'18','coffee/tea'
'18','beef'
'18','eggs'
'18','vegetables'
'18','individual meals'
'18','sugar'
'18','bagels'
'18','individual meals'
'18','spaghetti sauce'
