data,minsup,fp_num,algorithm,time
t1_l5_n5,0.005,366,fpg,0.37585949897766113
t1_l5_n5,0.006,196,fpg,0.0926325798034668
t1_l5_n5,0.007,196,fpg,0.09979593753814697
t1_l5_n5,0.008,101,fpg,0.024959373474121093
t1_l5_n5,0.009,49,fpg,0.008302903175354004
t10_l5_n5,0.005,135,fpg,0.18469481468200682
t10_l5_n5,0.006,70,fpg,0.07285048961639404
t10_l5_n5,0.007,32,fpg,0.045854616165161136
t10_l5_n5,0.008,19,fpg,0.04195890426635742
t10_l5_n5,0.009,10,fpg,0.03841385841369629
t10_l5_n30,0.005,0,fpg,0.03644299507141113
t10_l5_n30,0.004,2,fpg,0.03894593715667725
t10_l5_n30,0.003,20,fpg,0.04569463729858399
t10_l5_n30,0.002,187,fpg,0.11346104145050048
t20_l5_n30,0.005,0,fpg,0.0689321756362915
t20_l5_n30,0.004,1,fpg,0.07474548816680908
t20_l5_n30,0.003,14,fpg,0.07649791240692139
t20_l5_n30,0.002,115,fpg,0.11891775131225586
