data,minsup,fp_num,algorithm,time
t2_l5_n5,0.005,366,fpg,0.3761115074157715
t2_l5_n5,0.006,196,fpg,0.10864496231079102
t2_l5_n5,0.007,101,fpg,0.033417344093322754
t2_l5_n5,0.008,49,fpg,0.014822602272033691
t2_l5_n5,0.009,21,fpg,0.010832548141479492
t2_l5_n5,0.005,366,apr,113.55189740657806
t2_l5_n5,0.006,196,apr,33.87921953201294
t2_l5_n5,0.007,101,apr,6.855937838554382
t2_l5_n5,0.008,49,apr,1.559230923652649
t2_l5_n5,0.009,21,apr,0.24659693241119385
t4_l5_n5,0.005,366,fpg,0.39577996730804443
t4_l5_n5,0.006,196,fpg,0.12696349620819092
t4_l5_n5,0.007,101,fpg,0.051695942878723145
t4_l5_n5,0.008,49,fpg,0.024219989776611328
t4_l5_n5,0.009,21,fpg,0.02543008327484131
t4_l5_n5,0.005,366,apr,235.81755661964417
t4_l5_n5,0.006,196,apr,70.69493532180786
t4_l5_n5,0.007,101,apr,14.511728882789612
t4_l5_n5,0.008,49,apr,3.5876978635787964
t4_l5_n5,0.009,21,apr,0.5429614782333374
t6_l5_n5,0.005,196,fpg,0.1309361457824707
t6_l5_n5,0.006,196,fpg,0.13349390029907227
t6_l5_n5,0.007,101,fpg,0.05328786373138428
t6_l5_n5,0.008,49,fpg,0.04265165328979492
t6_l5_n5,0.009,21,fpg,0.02538001537322998
t6_l5_n5,0.005,196,apr,96.73871600627899
t6_l5_n5,0.006,196,apr,87.95964753627777
t6_l5_n5,0.007,101,apr,29.78002893924713
t6_l5_n5,0.008,49,apr,3.9564480781555176
t6_l5_n5,0.009,21,apr,0.7789885997772217
t8_l5_n5,0.005,196,fpg,0.14410865306854248
t8_l5_n5,0.006,196,fpg,0.15261316299438477
t8_l5_n5,0.007,101,fpg,0.059985995292663574
t8_l5_n5,0.008,49,fpg,0.037372589111328125
t8_l5_n5,0.009,21,fpg,0.03054988384246826
t8_l5_n5,0.005,196,apr,140.4705240726471
t8_l5_n5,0.006,196,apr,145.0226321220398
t8_l5_n5,0.007,101,apr,29.327259421348572
t8_l5_n5,0.008,49,apr,5.6181875467300415
t8_l5_n5,0.009,21,apr,0.9774746894836426
t10_l5_n5,0.005,135,fpg,0.1916259527206421
t10_l5_n5,0.006,70,fpg,0.07583248615264893
t10_l5_n5,0.007,32,fpg,0.04540205001831055
t10_l5_n5,0.008,19,fpg,0.07011258602142334
t10_l5_n5,0.009,10,fpg,0.04654550552368164
t10_l5_n5,0.005,135,apr,82.71572852134705
t10_l5_n5,0.006,70,apr,17.690837025642395
t10_l5_n5,0.007,32,apr,4.312178611755371
t10_l5_n5,0.008,19,apr,1.1072860956192017
t10_l5_n5,0.009,10,apr,0.30027341842651367
