pattern, counts
vegetables-hand soap,425
lunch meat-hand soap,221
aluminum foil-hand soap,220
cheeses-hand soap,216
ice cream-hand soap,219
soda-hand soap,225
eggs-hand soap,219
juice-hand soap,218
yogurt-hand soap,205
pasta-hand soap,225
laundry detergent-hand soap,214
tortillas-hand soap,215
fruits-hand soap,213
beef-hand soap,217
paper towels-hand soap,207
spaghetti sauce-hand soap,219
sandwich loaves-hand soap,217
sandwich bags-hand soap,211
pork-hand soap,207
ketchup-hand soap,212
cereals-hand soap,215
bagels-hand soap,213
milk-hand soap,227
toilet paper-hand soap,216
coffee/tea-hand soap,214
soap-hand soap,210
all- purpose-hand soap,217
sugar-hand soap,225
flour-hand soap,217
dinner rolls-hand soap,228
shampoo-hand soap,215
mixes-hand soap,231
individual meals-hand soap,211
butter-hand soap,214
waffles-hand soap,228
dishwashing liquid/detergent-hand soap,219
poultry-hand soap,235
vegetables-poultry-hand soap,171
vegetables-ketchup,442
lunch meat-ketchup,211
aluminum foil-ketchup,228
ice cream-ketchup,234
soda-ketchup,229
dinner rolls-ketchup,232
yogurt-ketchup,219
pasta-ketchup,226
soap-ketchup,232
tortillas-ketchup,218
sugar-ketchup,211
paper towels-ketchup,218
spaghetti sauce-ketchup,227
bagels-ketchup,233
eggs-ketchup,230
toilet paper-ketchup,230
all- purpose-ketchup,232
laundry detergent-ketchup,232
individual meals-ketchup,207
fruits-ketchup,218
sandwich loaves-ketchup,223
pork-ketchup,225
cheeses-ketchup,230
beef-ketchup,223
juice-ketchup,237
sandwich bags-ketchup,227
cereals-ketchup,223
milk-ketchup,219
coffee/tea-ketchup,238
flour-ketchup,224
shampoo-ketchup,218
mixes-ketchup,246
butter-ketchup,212
waffles-ketchup,235
dishwashing liquid/detergent-ketchup,231
poultry-ketchup,238
vegetables-poultry-ketchup,174
vegetables-pork,436
lunch meat-pork,233
aluminum foil-pork,235
ice cream-pork,208
soda-pork,229
dinner rolls-pork,214
mixes-pork,238
yogurt-pork,225
soap-pork,228
all- purpose-pork,234
laundry detergent-pork,212
butter-pork,210
beef-pork,227
sandwich bags-pork,223
shampoo-pork,211
bagels-pork,229
eggs-pork,230
toilet paper-pork,215
individual meals-pork,214
fruits-pork,202
sandwich loaves-pork,210
cheeses-pork,226
juice-pork,241
pasta-pork,209
tortillas-pork,223
paper towels-pork,219
spaghetti sauce-pork,214
cereals-pork,222
milk-pork,227
coffee/tea-pork,230
sugar-pork,212
waffles-pork,236
dishwashing liquid/detergent-pork,235
poultry-pork,241
vegetables-poultry-pork,168
vegetables-flour,441
lunch meat-flour,229
aluminum foil-flour,237
ice cream-flour,219
soda-flour,244
dinner rolls-flour,229
mixes-flour,228
yogurt-flour,235
soap-flour,233
all- purpose-flour,225
laundry detergent-flour,223
butter-flour,203
beef-flour,216
sandwich bags-flour,206
shampoo-flour,212
cheeses-flour,239
cereals-flour,215
bagels-flour,212
eggs-flour,224
milk-flour,227
toilet paper-flour,223
coffee/tea-flour,225
pasta-flour,219
fruits-flour,210
sugar-flour,226
sandwich loaves-flour,219
individual meals-flour,219
tortillas-flour,212
paper towels-flour,216
spaghetti sauce-flour,209
juice-flour,213
waffles-flour,223
dishwashing liquid/detergent-flour,242
poultry-flour,239
vegetables-poultry-flour,182
vegetables-shampoo,444
lunch meat-shampoo,239
aluminum foil-shampoo,235
ice cream-shampoo,218
soda-shampoo,236
