rule,confidence,support
eggs->vegetables,0.8515358361774744,499
yogurt->vegetables,0.8452173913043478,486
laundry detergent->vegetables,0.8409090909090909,481
aluminum foil->vegetables,0.8263069139966274,490
spaghetti sauce->vegetables,0.8253119429590018,463
sugar->vegetables,0.824468085106383,465
ice cream->vegetables,0.8240270727580372,487
dishwashing liquid/detergent->vegetables,0.8210702341137124,491
waffles->vegetables,0.8196994991652755,491
sandwich bags->vegetables,0.8188405797101449,452
cheeses->vegetables,0.8175675675675675,484
milk->vegetables,0.8158347676419966,474
soda->vegetables,0.8149405772495756,480
paper towels->vegetables,0.8096085409252669,455
ketchup->vegetables,0.8095238095238095,442
fruits->vegetables,0.8088495575221238,457
individual meals->vegetables,0.8073555166374781,461
shampoo->vegetables,0.8072727272727273,444
sandwich loaves->vegetables,0.8071428571428572,452
cereals->vegetables,0.8071065989847716,477
poultry-laundry detergent->vegetables,0.8052434456928839,215
soap->vegetables,0.8048780487804879,462
flour->vegetables,0.8047445255474452,441
bagels->vegetables,0.8040885860306644,472
lunch meat->vegetables,0.8036912751677853,479
pasta->vegetables,0.8031358885017421,461
poultry->vegetables,0.8028846153846154,501
poultry-sandwich loaves->vegetables,0.8024691358024691,195
butter->vegetables,0.7978910369068541,454
mixes->vegetables,0.7972270363951474,460
pork->vegetables,0.7956204379562044,436
poultry-aluminum foil->vegetables,0.7954545454545454,210
dinner rolls->vegetables,0.7920962199312714,461
poultry-yogurt->vegetables,0.79182156133829,213
juice->vegetables,0.7916666666666666,456
hand soap->vegetables,0.7914338919925512,425
toilet paper->vegetables,0.7910189982728842,458
beef->vegetables,0.7907801418439716,446
poultry-juice->vegetables,0.7862595419847328,206
tortillas->vegetables,0.7826855123674912,443
poultry-mixes->vegetables,0.7806691449814126,210
coffee/tea->vegetables,0.7768166089965398,449
poultry-tortillas->vegetables,0.763265306122449,187
poultry-flour->vegetables,0.7615062761506276,182
dinner rolls->poultry,0.4845360824742268,282
sugar->poultry,0.475177304964539,268
sandwich bags->cheeses,0.4746376811594203,262
soap->poultry,0.47038327526132406,270
dishwashing liquid/detergent->poultry,0.4698996655518395,281
beef->poultry,0.46808510638297873,264
yogurt->juice,0.4678260869565217,269
yogurt->poultry,0.4678260869565217,269
juice->yogurt,0.4670138888888889,269
laundry detergent->poultry,0.46678321678321677,267
mixes->poultry,0.4662045060658579,269
shampoo->dinner rolls,0.46545454545454545,256
spaghetti sauce->cheeses,0.46345811051693403,260
spaghetti sauce->poultry,0.46345811051693403,260
soda->waffles,0.4601018675721562,271
shampoo->juice,0.46,253
ice cream->aluminum foil,0.45854483925549916,271
eggs->soda,0.45733788395904434,268
aluminum foil->ice cream,0.45699831365935917,271
sandwich bags->poultry,0.45652173913043476,252
vegetables-mixes->poultry,0.45652173913043476,210
yogurt->aluminum foil,0.45565217391304347,262
ice cream->cheeses,0.45516074450084604,269
soda->eggs,0.45500848896434637,268
fruits->dishwashing liquid/detergent,0.45486725663716815,257
juice->poultry,0.4548611111111111,262
lunch meat->poultry,0.4546979865771812,271
cheeses->ice cream,0.4543918918918919,269
mixes->dishwashing liquid/detergent,0.4540727902946274,262
coffee/tea->poultry,0.4532871972318339,262
juice->toilet paper,0.453125,261
waffles->soda,0.4524207011686144,271
yogurt->waffles,0.45217391304347826,260
poultry->dinner rolls,0.4519230769230769,282
vegetables-juice->poultry,0.4517543859649123,206
fruits->bagels,0.45132743362831856,255
spaghetti sauce->soda,0.45098039215686275,253
spaghetti sauce->bagels,0.45098039215686275,253
toilet paper->juice,0.45077720207253885,261
ketchup->mixes,0.45054945054945056,246
poultry->dishwashing liquid/detergent,0.45032051282051283,281
soda->poultry,0.44991511035653653,265
bagels->dishwashing liquid/detergent,0.4497444633730835,264
pasta->dishwashing liquid/detergent,0.44947735191637633,258
milk->soda,0.44922547332185886,261
toilet paper->waffles,0.44905008635578586,260
mixes->aluminum foil,0.4488734835355286,259
individual meals->lunch meat,0.44833625218914186,256
lunch meat->waffles,0.44798657718120805,267
soap->lunch meat,0.44773519163763065,257
pasta->eggs,0.44773519163763065,257
milk->poultry,0.4475043029259897,260
toilet paper->cheeses,0.4473229706390328,259
shampoo->poultry,0.44727272727272727,246
vegetables-laundry detergent->poultry,0.446985446985447,215
paper towels->lunch meat,0.44661921708185054,251
paper towels->pasta,0.44661921708185054,251
individual meals->dishwashing liquid/detergent,0.44658493870402804,255
fruits->waffles,0.44601769911504424,252
soap->soda,0.445993031358885,256
milk->eggs,0.4457831325301205,259
waffles->lunch meat,0.44574290484140233,267
spaghetti sauce->juice,0.44563279857397503,250
toilet paper->milk,0.44559585492227977,258
flour->soda,0.44525547445255476,244
aluminum foil->poultry,0.4451939291736931,264
sugar->waffles,0.4450354609929078,251
dinner rolls->soda,0.44501718213058417,259
ice cream->poultry,0.4450084602368866,263
paper towels->ice cream,0.44483985765124556,250
individual meals->poultry,0.4448336252189142,254
butter->cheeses,0.4446397188049209,253
coffee/tea->waffles,0.444636678200692,257
juice->aluminum foil,0.4444444444444444,256
milk->toilet paper,0.4440619621342513,258
aluminum foil->waffles,0.44350758853288363,263
cereals->poultry,0.4433164128595601,262
